 דוח שריפות מתאריך  01/01/2014  נכון ליום  03/05/2020 08:02:41,
ישוב              ,תאריך תחילת תוקף  ,תאריך סיום תוקף   ,מס היתר           ,מחוז              ,גידול             ,שעות שריפה        ,גוש ראשון         ,חלקה ראשונה       ,גוש שני           ,חלקה שניה         ,גוש שלישי         ,חלקה שלישית       ,
א.תעשיה דלתון,29/08/2017,04/09/2017,14312,גולן גליל,אקליפטוס ענפים לקטיף,05:00-10:00,14035,17,14035,7,14035,14,
א.תעשיה דלתון,21/08/2017,27/08/2017,14297,גולן גליל,אקליפטוס ענפים לקטיף,05:00-10:00,14035,17,14035,7,14035,14,
א.תעשיה דלתון,20/03/2017,26/03/2017,14058,גולן גליל,אפרסק,07:00-12:00,14035,14,14035,17,,,
א.תעשיה דלתון,12/01/2017,18/01/2017,13888,גולן גליל,תמר,10:00-16:00,14035,14,14035,17,,,
א.תעשיה דלתון,31/10/2016,06/11/2016,13759,גולן גליל,תמר,07:00-12:00,14095,14,14095,13,14095,11,
א.תעשיה דלתון,05/05/2016,11/05/2016,13410,גולן גליל,אקליפטוס ענפים לקטיף,07:00-12:00,14095,14,14095,13,14095,11,
א.תעשיה דלתון,24/02/2016,01/03/2016,13261,גולן גליל,אקליפטוס ענפים לקטיף,10:00-16:00,14035,14,14035,15,,,
א.תעשיה דלתון,14/02/2016,20/02/2016,13219,גולן גליל,אקליפטוס ענפים לקטיף,10:00-16:00,14035,14,14035,15,,,
א.תעשיה דלתון,06/01/2016,12/01/2016,13144,גולן גליל,אקליפטוס ענפים לקטיף,05:00-10:00,14035,14,14035,15,,,
א.תעשיה דלתון,21/12/2015,27/12/2015,13127,גולן גליל,אקליפטוס ענפים לקטיף,10:00-16:00,14035,14,14035,15,,,
א.תעשיה דלתון,27/11/2015,03/12/2015,13016,גולן גליל,אפרסק,10:00-16:00,14035,14,14035,15,,,
א.תעשיה דלתון,19/10/2015,25/10/2015,12922,גולן גליל,אקליפטוס ענפים לקטיף,07:00-12:00,14035,15,14035,14,,,
א.תעשיה דלתון,01/12/2014,07/12/2014,12212,גולן גליל,תפוח,10:00-16:00,14035,13,14035,14,,,
א.תעשיה דלתון,11/11/2014,17/11/2014,12164,גולן גליל,אגס,07:00-12:00,14035,13,14035,14,,,
אבו ג'ווייעד ,06/09/2017,07/09/2017,14323,השפלה וההר,עגבניות בבית צמיחה,05:00-10:00,2602,2,2602,3,,,
אבטליון,01/03/2015,07/03/2015,12408,גולן גליל,אקליפטוס ענפים לקטיף,05:00-10:00,19393,1,,,,,
אבטליון,08/02/2015,14/02/2015,12382,גולן גליל,אקליפטוס ענפים לקטיף,05:00-10:00,19277,33,,,,,
אבטליון,08/02/2015,14/02/2015,12383,גולן גליל,אקליפטוס ענפים לקטיף,05:00-10:00,19612,87,19612,88,,,
אבטליון,08/02/2015,14/02/2015,12381,גולן גליל,אקליפטוס ענפים לקטיף,05:00-10:00,19393,1,,,,,
אבטליון,29/01/2015,04/02/2015,12354,גולן גליל,אקליפטוס ענפים לקטיף,05:00-10:00,19393,1,,,,,
אבטליון,29/01/2015,04/02/2015,12348,גולן גליל,אקליפטוס ענפים לקטיף,05:00-10:00,19612,87,19612,88,,,
אבטליון,29/01/2015,04/02/2015,12350,גולן גליל,אקליפטוס ענפים לקטיף,05:00-10:00,19277,33,,,,,
אביאל,18/12/2019,18/12/2019,15772,מרכז,נקטרינה,10:00-16:00,12056,82,,,,,
אביאל,05/11/2019,05/11/2019,15673,מרכז,כרם כנות *,07:00-12:00,12414,32,,,,,
אביאל,07/05/2019,07/05/2019,15456,מרכז,כרם כנות *,07:00-12:00,12413,11,,,,,
אביאל,30/04/2019,30/04/2019,15446,מרכז,כרם כנות *,07:00-12:00,11982,16,11982,15,,,
אביאל,30/04/2019,30/04/2019,15445,מרכז,כרם כנות *,07:00-12:00,12416,57,,,,,
אביאל,11/04/2019,11/04/2019,15423,מרכז,כרם כנות *,07:00-12:00,12415,21,,,,,
אביאל,21/03/2019,21/03/2019,15380,מרכז,כרם כנות *,07:00-12:00,12094,40,,,,,
אביאל,15/05/2018,15/05/2018,14900,מרכז,כרם כנות *,07:00-12:00,12415,21,,,,,
אביאל,07/05/2018,07/05/2018,14891,מרכז,כרם כנות *,07:00-12:00,12054,89,,,,,
אביאל,25/03/2018,25/03/2018,14779,מרכז,כרם כנות *,10:00-16:00,12095,50,,,,,
אביאל,25/03/2018,25/03/2018,14720,מרכז,משמש אורגני,10:00-16:00,12413,11,,,,,
אביאל,07/03/2018,07/03/2018,14759,מרכז,משמש אורגני,10:00-16:00,12413,19,,,,,
אביאל,19/09/2017,19/09/2017,14352,מרכז,משמש אורגני,05:00-10:00,12413,6,,,,,
אביאל,09/04/2017,09/04/2017,14113,מרכז,כרם כנות *,07:00-12:00,12416,57,,,,,
אביאל,09/04/2017,09/04/2017,14112,מרכז,כרם כנות *,07:00-12:00,12094,28,12094,55,12094,54,
אביאל,09/04/2017,09/04/2017,14114,מרכז,כרם כנות *,07:00-12:00,12413,11,,,,,
אביאל,19/01/2017,19/01/2017,13910,מרכז,כרם כנות *,10:00-16:00,12415,21,,,,,
אביאל,31/10/2016,31/10/2016,13756,מרכז,אפרסק,07:00-12:00,12413,11,,,,,
אביאל,15/08/2016,16/08/2016,13593,מרכז,משמש אורגני,05:00-10:00,12094,23,12094,24,12094,25,
אביאל,03/08/2016,03/08/2016,13567,מרכז,רימון,05:00-10:00,12413,7,,,,,
אביאל,25/07/2016,25/07/2016,13560,מרכז,נקטרינה,05:00-10:00,12414,36,,,,,
אביאל,11/07/2016,12/07/2016,13530,מרכז,משמש אורגני,05:00-10:00,12413,69,,,,,
אביאל,04/04/2016,07/04/2016,13359,מרכז,אפרסק,07:00-12:00,12094,39,12094,4,,,
אביאל,04/04/2016,07/04/2016,13357,מרכז,אפרסק,07:00-12:00,12056,100,12056,108,,,
אביאל,04/04/2016,07/04/2016,13361,מרכז,משמש אורגני,07:00-12:00,12413,76,,,,,
אביאל,29/03/2016,31/03/2016,13310,מרכז,שזיף,07:00-12:00,12413,24,,,,,
אביאל,29/03/2016,31/03/2016,13304,מרכז,כרם כנות *,07:00-12:00,12413,76,12416,76,12415,76,
